Nom,Email,Priorité,Zone,Catégorie,Date envoi,Statut,Objet
Absolute Sanctuary,bookings@absolutesanctuary.com,WARM,Choeng Mon,5. Wellness & Spa,2026-07-13,Brouillon créé ✅ — à envoyer,Absolute Sanctuary: A wellness concierge for Koh Samui guests
Dreamcatchers Events,hello@dreamcatchers-events.com,WARM,Chaweng,8. Mariages & Événements,2026-07-13,Brouillon créé ✅ — à envoyer,Dreamcatchers Events: A wedding & events CRM for Koh Samui guests
Banyan Tree Samui,samui@banyantree.com,WARM,Lamai,1. Hôtels & Resorts,2026-07-13,Brouillon créé ✅ — à envoyer,Banyan Tree Samui: A 24/7 multilingual concierge widget for Koh Samui guests
Belmond Napasai,info.nap@belmond.com,WARM,Maenam,1. Hôtels & Resorts,2026-07-13,Brouillon créé ✅ — à envoyer,Belmond Napasai: A 24/7 multilingual concierge widget for Koh Samui guests
Centara Reserve Samui,crs@chr.co.th,WARM,Chaweng,1. Hôtels & Resorts,2026-07-13,Brouillon créé ✅ — à envoyer,Centara Reserve Samui: A 24/7 multilingual concierge widget for Koh Samui guests
Tree Tops Sky Dining & Bar,treetops@anantara.com,WARM,Choeng Mon,3. Restaurants,2026-07-14,Brouillon créé ✅ — à envoyer,Tree Tops Sky Dining & Bar: Automatic 24/7 table booking for Koh Samui guests
100 Degrees East,info@100degreeseast.com,WARM,Chaweng,4. Activités Touristiques,2026-07-14,Brouillon créé ✅ — à envoyer,100 Degrees East: A 24/7 activity booking desk for Koh Samui guests
Samahita Retreat,info@samahitaretreat.com,WARM,Koh Samui South,5. Wellness & Spa,2026-07-14,Brouillon créé ✅ — à envoyer,Samahita Retreat: A wellness concierge for Koh Samui guests
Lomprayah Ferry Samui,e-booking@lomprayah.com,WARM,Nathon Pier,7. Transport,2026-07-14,Brouillon créé ✅ — à envoyer,Lomprayah Ferry Samui: A transfer booking bot for Koh Samui guests
Seatran Ferry,contact@seatranferry.com,WARM,Nathon Pier,7. Transport,2026-07-14,Brouillon créé ✅ — à envoyer,Seatran Ferry: A transfer booking bot for Koh Samui guests
Riess Weddings,info@riessweddings.com,WARM,Island-wide,8. Mariages & Événements,2026-07-14,Brouillon créé ✅ — à envoyer,Riess Weddings: A wedding & events CRM for Koh Samui guests
Samui Digital Maker,contact@samuidigitalmaker.com,WARM,Island-wide,9. Digital Services,2026-07-14,Brouillon créé ✅ — à envoyer,Samui Digital Maker: A technical partnership for Koh Samui guests
Digital Clinch Samui,md.digitalclinch@gmail.com,WARM,Island-wide,9. Digital Services,2026-07-14,Brouillon créé ✅ — à envoyer,Digital Clinch Samui: A technical partnership for Koh Samui guests
Central Festival Samui,prom.smi@centralpattana.co.th,WARM,Chaweng,10. Commerces Locaux,2026-07-14,Brouillon créé ✅ — à envoyer,Central Festival Samui: A local visibility listing for Koh Samui guests
Samui Hospital / Bangkok Hospital,info@bangkokhospitalsamui.com,WARM,Chaweng / Nathon,10. Commerces Locaux,2026-07-14,Brouillon créé ✅ — à envoyer,Samui Hospital / Bangkok Hospital: A local visibility listing for Koh Samui guests
Six Senses Samui,reservations-samui@sixsenses.com,LOW,Choeng Mon,1. Hôtels & Resorts,2026-07-14,Brouillon créé ✅ — à envoyer,Six Senses Samui: A 24/7 multilingual concierge widget for Koh Samui guests
Kamalaya Wellness Sanctuary,fo@kamalaya.com,LOW,Lamai,5. Wellness & Spa,2026-07-14,Brouillon créé ✅ — à envoyer,Kamalaya Wellness Sanctuary: A wellness concierge for Koh Samui guests
Banyan Tree Spa,spa-samui@banyantree.com,LOW,Lamai,5. Wellness & Spa,2026-07-15,Brouillon créé ✅ — à envoyer,Banyan Tree Spa: A wellness concierge for Koh Samui guests
Highly Persuasive Samui,hello@highlypersuasive.com,LOW,Chaweng,9. Digital Services,2026-07-15,Brouillon créé ✅ — à envoyer,Highly Persuasive Samui: A technical partnership for Koh Samui guests
